year,xnuts2.label,wrecht.miete,werr.label,quali,price.m2.n,price.m2.v,price.m2.w
1974,Kärnten,NA,1961 - 1970,D,5,1.523547104,66.989625
1974,Kärnten,NA,1961 - 1970,NA,630,1.173830978,8752.61065
1974,Kärnten,NA,1971 - 1980,A,32,1.879173565,604.71415
1974,Kärnten,NA,1971 - 1980,B,8,1.269190218,153.7846
1974,Kärnten,NA,1971 - 1980,NA,135,1.848583382,2818.891425
1974,Niederösterreich,NA,1918 und davor,A,14,0.57687915,599.1309
1974,Niederösterreich,NA,1918 und davor,B,50,0.668125052,2216.55945
1974,Niederösterreich,NA,1918 und davor,C,41,0.412277651,1774.199125
1974,Niederösterreich,NA,1918 und davor,D,253,0.462755994,11389.9786
1974,Niederösterreich,NA,1918 und davor,NA,1073,0.488278492,48660.17293
1974,Niederösterreich,NA,1919 - 1944,A,3,0.707225733,164.9231
1974,Niederösterreich,NA,1919 - 1944,B,35,0.399782393,1616.69165
1974,Niederösterreich,NA,1919 - 1944,C,17,0.479844414,776.950975
1974,Niederösterreich,NA,1919 - 1944,D,40,0.404450676,1871.3065
1974,Niederösterreich,NA,1919 - 1944,NA,316,0.496532221,14588.83085
1974,Niederösterreich,NA,1945 - 1960,A,10,0.521152726,446.2796
1974,Niederösterreich,NA,1945 - 1960,B,48,0.589283399,2138.7024
1974,Niederösterreich,NA,1945 - 1960,C,17,0.53784583,789.8189
1974,Niederösterreich,NA,1945 - 1960,D,6,0.727458659,274.058175
1974,Niederösterreich,NA,1945 - 1960,NA,267,0.630867917,11924.67948
1974,Niederösterreich,NA,1961 - 1970,A,42,1.026462917,1876.616625
1974,Niederösterreich,NA,1961 - 1970,B,60,0.760849337,2604.01785
1974,Niederösterreich,NA,1961 - 1970,D,3,0.66110957,133.254875
1974,Niederösterreich,NA,1961 - 1970,NA,302,0.874321049,13283.645
1974,Niederösterreich,NA,1971 - 1980,A,10,1.163245352,495.6666
1974,Niederösterreich,NA,1971 - 1980,B,2,0.791285007,101.31265
1974,Niederösterreich,NA,1971 - 1980,NA,30,1.151234332,1917.807175
1974,Oberösterreich,NA,1918 und davor,A,16,1.049702864,519.77005
1974,Oberösterreich,NA,1918 und davor,B,40,0.845427903,1323.278425
1974,Oberösterreich,NA,1918 und davor,C,37,0.660504538,1243.450775
1974,Oberösterreich,NA,1918 und davor,D,125,0.67975359,4214.231525
1974,Oberösterreich,NA,1918 und davor,NA,812,0.67490599,27784.78443
1974,Oberösterreich,NA,1919 - 1944,A,12,0.699239617,391.58375
1974,Oberösterreich,NA,1919 - 1944,B,120,0.513742418,3896.904325
1974,Oberösterreich,NA,1919 - 1944,C,29,0.645465258,948.314825
1974,Oberösterreich,NA,1919 - 1944,D,24,0.632897032,786.700525
1974,Oberösterreich,NA,1919 - 1944,NA,617,0.595672403,20716.22405
1974,Oberösterreich,NA,1945 - 1960,A,34,0.958541296,1130.356275
1974,Oberösterreich,NA,1945 - 1960,B,163,0.741982696,5345.956775
1974,Oberösterreich,NA,1945 - 1960,C,15,0.659092423,493.34935
1974,Oberösterreich,NA,1945 - 1960,D,18,0.6416686,574.9161
1974,Oberösterreich,NA,1945 - 1960,NA,669,0.728662103,22558.58808
1974,Oberösterreich,NA,1961 - 1970,A,79,1.347265927,2596.26195
1974,Oberösterreich,NA,1961 - 1970,B,131,0.93435621,4316.076375
1974,Oberösterreich,NA,1961 - 1970,C,3,0.839442151,96.72185
1974,Oberösterreich,NA,1961 - 1970,D,3,0.79970019,103.91055
1974,Oberösterreich,NA,1961 - 1970,NA,639,1.128906827,21259.48285
1974,Oberösterreich,NA,1971 - 1980,A,28,1.629625714,1381.5438
1974,Oberösterreich,NA,1971 - 1980,B,2,0.839817766,80.52005
1974,Oberösterreich,NA,1971 - 1980,C,1,0.942055258,49.34085
1974,Oberösterreich,NA,1971 - 1980,NA,91,1.618934206,5426.315575
1974,Salzburg,NA,1918 und davor,A,11,1.039987077,124.13095
1974,Salzburg,NA,1918 und davor,B,52,0.882667615,617.703025
1974,Salzburg,NA,1918 und davor,C,35,0.678995896,399.8923
1974,Salzburg,NA,1918 und davor,D,126,0.767976212,1446.221675
1974,Salzburg,NA,1918 und davor,NA,607,0.802592019,7469.800025
1974,Salzburg,NA,1919 - 1944,A,21,0.763857966,279.413825
1974,Salzburg,NA,1919 - 1944,B,42,0.668801105,494.61715
1974,Salzburg,NA,1919 - 1944,C,35,0.610369711,412.434275
1974,Salzburg,NA,1919 - 1944,D,37,0.87303319,421.778125
1974,Salzburg,NA,1919 - 1944,NA,408,0.780726974,4970.515925
1974,Salzburg,NA,1945 - 1960,A,54,1.514260916,636.143425
1974,Salzburg,NA,1945 - 1960,B,144,1.076140554,1670.586175
1974,Salzburg,NA,1945 - 1960,C,18,1.090820213,219.313575
1974,Salzburg,NA,1945 - 1960,D,15,1.254408295,177.231775
1974,Salzburg,NA,1945 - 1960,NA,649,1.113836137,7839.284175
1974,Salzburg,NA,1961 - 1970,A,148,2.0523799,1785.102025
1974,Salzburg,NA,1961 - 1970,B,102,1.194897834,1200.134125
1974,Salzburg,NA,1961 - 1970,C,3,1.500211085,36.2416
1974,Salzburg,NA,1961 - 1970,D,4,1.888555999,59.99625
1974,Salzburg,NA,1961 - 1970,NA,765,1.782521708,9508.086075
1974,Salzburg,NA,1971 - 1980,A,32,2.882034899,885.268
1974,Salzburg,NA,1971 - 1980,B,2,1.70809647,55.32925
1974,Salzburg,NA,1971 - 1980,NA,98,3.006209202,3218.3486
1974,Steiermark,NA,1918 und davor,A,17,0.814525423,555.5754
1974,Steiermark,NA,1918 und davor,B,98,0.670051978,3191.40245
1974,Steiermark,NA,1918 und davor,C,64,0.583539674,2083.95075
1974,Steiermark,NA,1918 und davor,D,271,0.628823329,8705.131325
1974,Steiermark,NA,1918 und davor,NA,1383,0.638383545,43452.01778
1974,Steiermark,NA,1919 - 1944,A,17,0.603624012,556.631675
1974,Steiermark,NA,1919 - 1944,B,70,0.497047287,2233.5124
1974,Steiermark,NA,1919 - 1944,C,38,0.475687406,1235.888375
1974,Steiermark,NA,1919 - 1944,D,26,0.70664975,868.74755
1974,Steiermark,NA,1919 - 1944,NA,481,0.564791854,14948.65038
1974,Steiermark,NA,1945 - 1960,A,14,0.74186028,429.352725
1974,Steiermark,NA,1945 - 1960,B,129,0.672800695,4127.656775
1974,Steiermark,NA,1945 - 1960,C,28,0.574562457,884.10075
1974,Steiermark,NA,1945 - 1960,D,13,0.640814656,443.393725
1974,Steiermark,NA,1945 - 1960,NA,583,0.706223097,18143.27783
1974,Steiermark,NA,1961 - 1970,A,49,1.122782125,1615.424075
1974,Steiermark,NA,1961 - 1970,B,97,0.89820119,3153.7369
1974,Steiermark,NA,1961 - 1970,C,5,0.883141632,145.03495
1974,Steiermark,NA,1961 - 1970,D,6,0.93564751,200.560225
1974,Steiermark,NA,1961 - 1970,NA,511,1.01418803,16197.80983
1974,Steiermark,NA,1971 - 1980,A,12,1.624128281,599.3508
1974,Steiermark,NA,1971 - 1980,B,3,0.970822236,154.666575
1974,Steiermark,NA,1971 - 1980,D,1,0.622910007,51.555525
1974,Steiermark,NA,1971 - 1980,NA,58,1.315899759,3448.5974
1974,Tirol,NA,1918 und davor,A,25,0.966696798,376.441125
1974,Tirol,NA,1918 und davor,B,101,0.929681582,1528.1749
1974,Tirol,NA,1918 und davor,C,89,0.631272464,1371.733925
1974,Tirol,NA,1918 und davor,D,103,0.803596607,1543.1426
1974,Tirol,NA,1918 und davor,NA,950,0.799732602,14284.32293
1974,Tirol,NA,1919 - 1944,A,17,0.926699441,256.110025
1974,Tirol,NA,1919 - 1944,B,148,0.626253802,2227.00515
1974,Tirol,NA,1919 - 1944,C,42,0.532053738,622.822875
1974,Tirol,NA,1919 - 1944,D,27,0.860655406,438.3951
1974,Tirol,NA,1919 - 1944,NA,727,0.676013013,10720.80348
1974,Tirol,NA,1945 - 1960,A,36,1.31858681,552.33025
1974,Tirol,NA,1945 - 1960,B,133,0.839364724,1971.57735
1974,Tirol,NA,1945 - 1960,C,9,0.896087646,131.81695
1974,Tirol,NA,1945 - 1960,D,7,1.044636734,104.6859
1974,Tirol,NA,1945 - 1960,NA,540,0.873071447,8160.661525
1974,Tirol,NA,1961 - 1970,A,161,1.963296409,2385.583875
1974,Tirol,NA,1961 - 1970,B,71,1.046902838,1053.850125
1974,Tirol,NA,1961 - 1970,C,7,1.105804143,104.228375
1974,Tirol,NA,1961 - 1970,D,1,2.076366691,14.1254
1974,Tirol,NA,1961 - 1970,NA,669,1.67494436,10079.6991
1974,Tirol,NA,1971 - 1980,A,16,3.017396355,483.7784
1974,Tirol,NA,1971 - 1980,NA,54,2.917680666,1777.1934
1974,Vorarlberg,NA,1918 und davor,A,28,1.27912111,193.503225
1974,Vorarlberg,NA,1918 und davor,B,51,1.099894533,354.786725
1974,Vorarlberg,NA,1918 und davor,C,134,0.920288157,957.620275
1974,Vorarlberg,NA,1918 und davor,D,51,1.116672647,375.623675
1974,Vorarlberg,NA,1918 und davor,NA,760,1.000572364,5396.350625
1974,Vorarlberg,NA,1919 - 1944,A,21,1.934277634,142.42695
1974,Vorarlberg,NA,1919 - 1944,B,84,0.725788745,627.784375
1974,Vorarlberg,NA,1919 - 1944,C,50,0.986452583,373.785425
1974,Vorarlberg,NA,1919 - 1944,D,4,1.4152497,28.083875
1974,Vorarlberg,NA,1919 - 1944,NA,505,0.97620866,3651.007925
1974,Vorarlberg,NA,1945 - 1960,A,28,1.482321439,199.344425
1974,Vorarlberg,NA,1945 - 1960,B,72,1.125562962,506.71585
1974,Vorarlberg,NA,1945 - 1960,C,18,1.600921644,142.115625
1974,Vorarlberg,NA,1945 - 1960,D,4,2.197039108,29.5121
1974,Vorarlberg,NA,1945 - 1960,NA,366,1.360048016,2684.088875
1974,Vorarlberg,NA,1961 - 1970,A,117,1.845384117,796.1528
1974,Vorarlberg,NA,1961 - 1970,B,44,1.581204714,305.32905
1974,Vorarlberg,NA,1961 - 1970,C,8,1.446400692,53.9583
1974,Vorarlberg,NA,1961 - 1970,NA,462,1.799330692,3306.6157
1974,Vorarlberg,NA,1971 - 1980,A,19,2.004029387,237.68155
1974,Vorarlberg,NA,1971 - 1980,NA,62,2.199958171,905.886425
1974,Wien,NA,1918 und davor,A,53,0.719043758,3571.453575
1974,Wien,NA,1918 und davor,B,314,0.515211367,21782.37783
1974,Wien,NA,1918 und davor,C,126,0.561160592,8844.125525
1974,Wien,NA,1918 und davor,D,680,0.686382087,49042.64345
1974,Wien,NA,1918 und davor,NA,3670,0.650939243,266207.1992
1974,Wien,NA,1919 - 1944,A,15,0.69907491,975.9697
1974,Wien,NA,1919 - 1944,B,98,0.436292733,6844.7913
1974,Wien,NA,1919 - 1944,C,136,0.363523444,9606.57765
1974,Wien,NA,1919 - 1944,D,3,0.537704305,204.65765
1974,Wien,NA,1919 - 1944,NA,775,0.450149509,55696.80345
1974,Wien,NA,1945 - 1960,A,34,0.652133514,2309.25645
1974,Wien,NA,1945 - 1960,B,199,0.52675156,13463.83628
1974,Wien,NA,1945 - 1960,C,19,0.421099382,1418.38445
1974,Wien,NA,1945 - 1960,D,8,0.688914924,615.155125
1974,Wien,NA,1945 - 1960,NA,740,0.550892562,52139.5669
1974,Wien,NA,1961 - 1970,A,145,1.054700993,10132.06305
1974,Wien,NA,1961 - 1970,B,130,0.744705816,8980.630175
1974,Wien,NA,1961 - 1970,D,2,0.333035938,115.84865
1974,Wien,NA,1961 - 1970,NA,824,0.901514588,57861.11165
1974,Wien,NA,1971 - 1980,A,75,0.925722767,4974.998
1974,Wien,NA,1971 - 1980,B,5,1.008071913,331.353125
1974,Wien,NA,1971 - 1980,NA,216,1.076178424,16051.19433
1975,Burgenland,NA,1918 und davor,A,2,0.293957882,12.61265
1975,Burgenland,NA,1918 und davor,B,8,0.653917859,51.97405
1975,Burgenland,NA,1918 und davor,C,6,1.118533743,38.861375
1975,Burgenland,NA,1918 und davor,D,55,0.430419308,369.242475
1975,Burgenland,NA,1918 und davor,NA,219,0.543149818,1508.034875
1975,Burgenland,NA,1919 - 1944,A,3,1.58680937,18.5192
1975,Burgenland,NA,1919 - 1944,B,24,0.617666667,158.8219
1975,Burgenland,NA,1919 - 1944,C,4,0.398505724,24.8548
1975,Burgenland,NA,1919 - 1944,D,15,0.505514875,100.078175
1975,Burgenland,NA,1919 - 1944,NA,113,0.557268795,786.504025
1975,Burgenland,NA,1945 - 1960,A,4,0.658501935,25.48945
1975,Burgenland,NA,1945 - 1960,B,12,0.711764525,78.000175
1975,Burgenland,NA,1945 - 1960,C,2,0.949262988,14.061625
1975,Burgenland,NA,1945 - 1960,D,3,0.350339012,20.8048
1975,Burgenland,NA,1945 - 1960,NA,62,0.608604407,443.0797
1975,Burgenland,NA,1961 - 1970,A,27,1.012578226,181.75555
1975,Burgenland,NA,1961 - 1970,B,19,0.793309692,125.723225
1975,Burgenland,NA,1961 - 1970,C,3,0.969310705,19.464225
1975,Burgenland,NA,1961 - 1970,D,1,0.145345668,6.361375
1975,Burgenland,NA,1961 - 1970,NA,156,0.936306883,1110.04215
1975,Burgenland,NA,1971 - 1980,A,4,1.453142082,26.9853
1975,Burgenland,NA,1971 - 1980,B,2,1.491106152,13.49265
1975,Burgenland,NA,1971 - 1980,NA,15,1.299381935,110.87265
1975,Kärnten,NA,1918 und davor,A,12,1.01924729,170.9024
1975,Kärnten,NA,1918 und davor,B,32,0.866633048,446.2335
1975,Kärnten,NA,1918 und davor,C,30,0.605000453,420.857675
1975,Kärnten,NA,1918 und davor,D,141,0.604201603,1968.826825
1975,Kärnten,NA,1918 und davor,NA,663,0.68384165,9579.359075
1975,Kärnten,NA,1919 - 1944,A,19,0.60664417,269.227975
1975,Kärnten,NA,1919 - 1944,B,70,0.695709618,950.65445
1975,Kärnten,NA,1919 - 1944,C,30,0.696717198,417.0035
1975,Kärnten,NA,1919 - 1944,D,21,0.707949583,293.579975
1975,Kärnten,NA,1919 - 1944,NA,427,0.714297993,6127.6186
1975,Kärnten,NA,1945 - 1960,A,38,1.013530464,535.849425
1975,Kärnten,NA,1945 - 1960,B,130,0.699781925,1809.5711
1975,Kärnten,NA,1945 - 1960,C,16,0.817645505,229.0771
1975,Kärnten,NA,1945 - 1960,D,10,1.504861893,142.923375
1975,Kärnten,NA,1945 - 1960,NA,535,0.808361953,7752.3888
1975,Kärnten,NA,1961 - 1970,A,78,1.453569966,1087.447925
1975,Kärnten,NA,1961 - 1970,B,116,0.849572274,1613.218275
1975,Kärnten,NA,1961 - 1970,C,3,1.411769457,39.10815
1975,Kärnten,NA,1961 - 1970,D,10,1.536279256,142.42485
1975,Kärnten,NA,1961 - 1970,NA,620,1.13367504,8978.023775
1975,Kärnten,NA,1971 - 1980,A,36,1.938870125,613.779625
1975,Kärnten,NA,1971 - 1980,B,9,1.406257057,139.902275
1975,Kärnten,NA,1971 - 1980,D,1,2.906913367,14.017925
1975,Kärnten,NA,1971 - 1980,NA,127,1.786344248,2420.950725
1975,Niederösterreich,NA,1918 und davor,A,7,0.531605031,286.343025
1975,Niederösterreich,NA,1918 und davor,B,43,0.634912134,1970.7569
1975,Niederösterreich,NA,1918 und davor,C,34,0.504616825,1551.5701
1975,Niederösterreich,NA,1918 und davor,D,226,0.484180163,10495.43145
1975,Niederösterreich,NA,1918 und davor,NA,889,0.545561211,42373.6077
1975,Niederösterreich,NA,1919 - 1944,A,5,1.138251009,235.0735
1975,Niederösterreich,NA,1919 - 1944,B,38,0.663903554,1748.24435
1975,Niederösterreich,NA,1919 - 1944,C,17,0.644858895,785.242025
1975,Niederösterreich,NA,1919 - 1944,D,38,0.546953638,1779.646175
1975,Niederösterreich,NA,1919 - 1944,NA,365,0.603000713,17376.83308
1975,Niederösterreich,NA,1945 - 1960,A,22,0.718254809,976.2215
1975,Niederösterreich,NA,1945 - 1960,B,50,0.659830116,2206.11615
1975,Niederösterreich,NA,1945 - 1960,C,10,0.461521232,441.53485
1975,Niederösterreich,NA,1945 - 1960,D,7,0.556626172,289.8925
1975,Niederösterreich,NA,1945 - 1960,NA,250,0.618827913,11500.99885
1975,Niederösterreich,NA,1961 - 1970,A,38,1.332190764,1698.01445
1975,Niederösterreich,NA,1961 - 1970,B,52,0.760610881,2407.484325
1975,Niederösterreich,NA,1961 - 1970,C,2,0.644108131,80.71035
1975,Niederösterreich,NA,1961 - 1970,NA,295,1.052562314,13634.66063
1975,Niederösterreich,NA,1971 - 1980,A,15,1.383930083,736.14485
1975,Niederösterreich,NA,1971 - 1980,NA,50,1.497473625,3019.0567
1975,Oberösterreich,NA,1918 und davor,A,12,1.03552772,413.3291
1975,Oberösterreich,NA,1918 und davor,B,42,0.783241165,1414.289075
1975,Oberösterreich,NA,1918 und davor,C,31,0.733449503,1085.783275
1975,Oberösterreich,NA,1918 und davor,D,97,0.629409492,3378.4082
1975,Oberösterreich,NA,1918 und davor,NA,780,0.684351137,27051.83405
1975,Oberösterreich,NA,1919 - 1944,A,13,0.676728008,441.946425
1975,Oberösterreich,NA,1919 - 1944,B,136,0.55135726,4463.150525
1975,Oberösterreich,NA,1919 - 1944,C,32,0.654862874,1034.4632
1975,Oberösterreich,NA,1919 - 1944,D,22,0.732680302,757.615775
1975,Oberösterreich,NA,1919 - 1944,NA,604,0.635847856,20235.05855
1975,Oberösterreich,NA,1945 - 1960,A,27,0.974102548,906.874725
1975,Oberösterreich,NA,1945 - 1960,B,163,0.765984942,5422.7333
1975,Oberösterreich,NA,1945 - 1960,C,25,0.64826709,843.453525
1975,Oberösterreich,NA,1945 - 1960,D,15,0.718294456,490.248875
1975,Oberösterreich,NA,1945 - 1960,NA,672,0.826634979,23207.47678
1975,Oberösterreich,NA,1961 - 1970,A,85,1.425365549,2849.547825
1975,Oberösterreich,NA,1961 - 1970,B,126,1.028954914,4156.15505
1975,Oberösterreich,NA,1961 - 1970,C,4,1.067650796,136.944525
1975,Oberösterreich,NA,1961 - 1970,NA,628,1.267699812,21734.58515
1975,Oberösterreich,NA,1971 - 1980,A,41,1.806412076,2034.12235
1975,Oberösterreich,NA,1971 - 1980,B,4,1.664899142,183.181425
1975,Oberösterreich,NA,1971 - 1980,NA,136,1.956078423,8796.491575
1975,Salzburg,NA,1918 und davor,A,18,1.128369591,238.567125
1975,Salzburg,NA,1918 und davor,B,44,0.989289789,559.28675
1975,Salzburg,NA,1918 und davor,C,33,0.759531617,410.06215
1975,Salzburg,NA,1918 und davor,D,88,0.803380788,1086.54865
1975,Salzburg,NA,1918 und davor,NA,559,0.946647098,7118.772675
1975,Salzburg,NA,1919 - 1944,A,26,1.319510476,335.550825
1975,Salzburg,NA,1919 - 1944,B,59,0.710639367,744.8213
1975,Salzburg,NA,1919 - 1944,C,35,0.671551833,430.422025
1975,Salzburg,NA,1919 - 1944,D,27,0.878616133,327.8193
1975,Salzburg,NA,1919 - 1944,NA,440,0.887620807,5416.3184
1975,Salzburg,NA,1945 - 1960,A,53,1.406036689,663.40225
1975,Salzburg,NA,1945 - 1960,B,132,1.081129813,1577.981425
1975,Salzburg,NA,1945 - 1960,C,11,1.002551349,145.59115
1975,Salzburg,NA,1945 - 1960,D,16,0.978694628,189.6037
1975,Salzburg,NA,1945 - 1960,NA,636,1.152414284,7898.984825
1975,Salzburg,NA,1961 - 1970,A,131,2.344849142,1631.886475
1975,Salzburg,NA,1961 - 1970,B,98,1.331476919,1205.475775
1975,Salzburg,NA,1961 - 1970,C,4,1.491596049,55.6797
1975,Salzburg,NA,1961 - 1970,D,2,2.711271526,28.07905
1975,Salzburg,NA,1961 - 1970,NA,710,1.909155047,8807.794725
1975,Salzburg,NA,1971 - 1980,A,33,3.084253518,987.556675
1975,Salzburg,NA,1971 - 1980,B,1,0.959829885,18.338225
1975,Salzburg,NA,1971 - 1980,NA,100,2.650465457,3322.347975
1975,Steiermark,NA,1918 und davor,A,17,0.770314395,534.06565
1975,Steiermark,NA,1918 und davor,B,96,0.684302068,2986.44375
1975,Steiermark,NA,1918 und davor,C,54,0.602383865,1703.676175
1975,Steiermark,NA,1918 und davor,D,278,0.695096721,8584.283375
1975,Steiermark,NA,1918 und davor,NA,1285,0.695576032,40646.93698
1975,Steiermark,NA,1919 - 1944,A,7,0.832579058,223.048525
1975,Steiermark,NA,1919 - 1944,B,87,0.573739804,2649.698175
1975,Steiermark,NA,1919 - 1944,C,33,0.563448198,1022.875075
1975,Steiermark,NA,1919 - 1944,D,35,0.599006819,1135.1709
1975,Steiermark,NA,1919 - 1944,NA,492,0.607135245,15620.65533
1975,Steiermark,NA,1945 - 1960,A,25,0.663031275,747.5624
1975,Steiermark,NA,1945 - 1960,B,145,0.726083089,4457.112625
1975,Steiermark,NA,1945 - 1960,C,15,0.80620821,460.363725
1975,Steiermark,NA,1945 - 1960,D,10,0.568338083,298.826475
1975,Steiermark,NA,1945 - 1960,NA,544,0.721585743,17098.92375
1975,Steiermark,NA,1961 - 1970,A,69,1.288693828,2186.0596
1975,Steiermark,NA,1961 - 1970,B,92,0.878720734,2814.91585
1975,Steiermark,NA,1961 - 1970,C,2,0.808305816,62.897225
1975,Steiermark,NA,1961 - 1970,D,6,0.880403511,183.49825
1975,Steiermark,NA,1961 - 1970,NA,472,1.120476615,15031.69898
1975,Steiermark,NA,1971 - 1980,A,16,1.999285299,745.505175
1975,Steiermark,NA,1971 - 1980,B,7,1.401979943,269.0953
1975,Steiermark,NA,1971 - 1980,NA,82,1.897983842,4206.851675
1975,Tirol,NA,1918 und davor,A,31,0.891153259,447.858475
1975,Tirol,NA,1918 und davor,B,104,1.030291365,1481.8401
1975,Tirol,NA,1918 und davor,C,72,0.756989639,1034.947175
1975,Tirol,NA,1918 und davor,D,103,0.873671337,1547.659725
1975,Tirol,NA,1918 und davor,NA,905,0.846606405,13466.65938
1975,Tirol,NA,1919 - 1944,A,19,0.870218955,316.41685
1975,Tirol,NA,1919 - 1944,B,155,0.673540895,2185.85385
1975,Tirol,NA,1919 - 1944,C,39,0.609086269,544.06935
1975,Tirol,NA,1919 - 1944,D,25,0.862727422,352.761
1975,Tirol,NA,1919 - 1944,NA,680,0.742863484,9682.302075
1975,Tirol,NA,1945 - 1960,A,41,0.992030444,587.39205
1975,Tirol,NA,1945 - 1960,B,111,0.889028349,1601.129575
1975,Tirol,NA,1945 - 1960,C,12,0.990159781,179.657475
1975,Tirol,NA,1945 - 1960,D,4,0.35686025,62.229525
1975,Tirol,NA,1945 - 1960,NA,586,0.965393654,8542.397025
1975,Tirol,NA,1961 - 1970,A,140,1.951081051,1984.53245
1975,Tirol,NA,1961 - 1970,B,89,0.987000367,1243.752425
1975,Tirol,NA,1961 - 1970,C,5,2.062448834,70.428575
1975,Tirol,NA,1961 - 1970,D,1,0.34065391,14.9926
1975,Tirol,NA,1961 - 1970,NA,648,1.728450097,9871.32665
1975,Tirol,NA,1971 - 1980,A,24,2.300328709,638.9545
1975,Tirol,NA,1971 - 1980,D,1,4.651061387,17.211875
1975,Tirol,NA,1971 - 1980,NA,81,2.836712543,2806.91535
1975,Vorarlberg,NA,1918 und davor,A,26,2.917644002,175.3459
1975,Vorarlberg,NA,1918 und davor,B,55,1.0234422,376.062175
1975,Vorarlberg,NA,1918 und davor,C,109,1.017914504,738.388775
1975,Vorarlberg,NA,1918 und davor,D,47,1.058323155,324.721175
1975,Vorarlberg,NA,1918 und davor,NA,730,1.107031386,5138.077275
1975,Vorarlberg,NA,1919 - 1944,A,24,1.14587862,163.84245
1975,Vorarlberg,NA,1919 - 1944,B,86,0.871497987,608.35155
1975,Vorarlberg,NA,1919 - 1944,C,39,0.811228556,270.491225
1975,Vorarlberg,NA,1919 - 1944,D,4,1.363416936,24.493
1975,Vorarlberg,NA,1919 - 1944,NA,470,0.891407953,3204.58295
1975,Vorarlberg,NA,1945 - 1960,A,27,1.578678684,221.422875
1975,Vorarlberg,NA,1945 - 1960,B,69,1.376408376,512.2754
1975,Vorarlberg,NA,1945 - 1960,C,16,1.940122038,115.63555
1975,Vorarlberg,NA,1945 - 1960,D,2,1.863126831,14.209825
1975,Vorarlberg,NA,1945 - 1960,NA,334,1.232467056,2602.404975
1975,Vorarlberg,NA,1961 - 1970,A,96,2.099115904,676.9049
1975,Vorarlberg,NA,1961 - 1970,B,37,1.741276505,257.065
1975,Vorarlberg,NA,1961 - 1970,C,7,1.203459504,46.38265
1975,Vorarlberg,NA,1961 - 1970,D,1,0.62648995,6.96275
1975,Vorarlberg,NA,1961 - 1970,NA,445,2.008999419,3229.430875
1975,Vorarlberg,NA,1971 - 1980,A,27,3.150997952,390.990025
1975,Vorarlberg,NA,1971 - 1980,NA,81,2.83819041,1478.458175
1975,Wien,NA,1918 und davor,A,65,0.764088267,4553.9051
1975,Wien,NA,1918 und davor,B,323,0.607181895,22571.53855
1975,Wien,NA,1918 und davor,C,129,0.595209121,9243.3215
